en,es_la,Pt_br,ru,tk,zh_tw,zh
,Porque Asociaciones aman Glue Up,Por que as associações amam o Glue Up,Почему Ассоциации любят Glue Up,Dernekler neden Glue Up'ı seviyor?,,为什么协会都爱用 Glue Up？
,Refuerza el liderazgo través de la creación de programas interactivos que incrementan el valor de la membresía.,Reforce a liderança criando programas de engajamento que aumentam o valor de suas associações.,"Укрепляйте лидерство, создавая привлекательные программы, которые повышают ценность членства.",Üyelik değerini artıran ilgi çekici programlar oluşturarak liderliği güçlendirin.,,创建极具互动性的活动，提升会员价值，增强组织机构领导力。
,Comprende la interacción y optimiza,Entenda o engajamento e otimize,Анализируйте взаимодействие и проводите оптимизацию,Etkileşimi anlayın ve optimize edin,,全面洞悉互动数据，优化决策
,Ve inmediatamente puntuaciones de participación que miden el compromiso general de tus miembros.,Visualize pontuações de engajamento imediato que medem o engajamento geral de seus membros.,"Просматривайте результаты немедленного взаимодействия, которые измеряют полное взаимодействие членов вашей организации.", Üyelerinizin genel katılımını ölçen anında katılım puanlarını görüntüleyin.,,“即时互动度评分” 可帮助获取您的组织与会员间的整体互动情况。
Drive revenue with membership and sponsorships,Genera más ingresos con membresía y patrocinio,Gere receita com associação e patrocínio,Увеличивайте доход с помощью членства и спонсорства,Üyelik ve sponsorluk ile geliri artırın,,收取会员费用与赞助商费用，增加收入
,"Adquiere canales robustos para generar ingresos por solicitudes de membresía, renovaciones y patrocinio.","Obtenha canais robustos para gerar receita para inscrições, renovações e patrocínios de membros.","Гарантируйте надежные каналы для получения дохода от заявок на членство, продлений и спонсорства.","Üyelik başvuruları, yenilemeler ve sponsorluk için gelir elde etmek için güçlü kanallar satın alın.",,获取增加会员申请、续费和赞助收入的绝佳渠道。
,Administra tus operaciones  desde cualquier sitio,Gerencie suas operações em qualquer lugar,"Управляйте своими операциями, где бы вы не находились",Operasyonlarınızı her yerden yönetin,,随时随地管理您的各项运营工作，轻松掌握实时数据更新
,Una poderosa aplicación administrativa todo en uno que te permite impactar a tus miembros desde cualquier lugar.,"Um poderoso aplicativo de gerenciamento ""tudo em um"" que permite impactar seus membros de qualquer lugar.","Мощное универсальное приложение, которое позволяет приносить пользу членам организации из любого уголка мира.",Üyelerinizi her yerden etkilemenizi sağlayan güçlü bir hepsi bir arada yönetici uygulaması.,,Glue Up 强大的一体化管理者 App 能帮助您随时随地管理您的社群与会员。
,Automatiza tus flujos de trabajo de membresía,Automatize os fluxos de trabalho de associação,Автоматизируйте свои рабочие процессы членства,Üyelik iş akışlarınızı otomatikleştirin,,会员管理流程全面自动化
,Mejor la gestión del ciclo de renovación de tu membresías y maximiza la retención de tus miembros mediante notificaciones automatizadas de renovación y procesos para solicitud de membresías,Melhore seus fluxos de trabalho de gerenciamento de membros e maximize a retenção com avisos de renovação automatizados e processos de inscrição de sócios,Улучшайте рабочие процессы управления членством и поддерживайте прочные отношения с помощью автоматических уведомлений о продлении и процессов подачи заявок на членство,Otomatik yenileme bildirimleri ve üyelik başvuru süreçleri ile üyelik yönetimi iş akışlarınızı iyileştirin ve elde tutma oranını en üst düzeye çıkarın,,自动化的会员申请审批流程与续费提醒，助力您提升会员管理的工作效率，实现留存最大化。
,Maximiza la interacción de tus miembros,Maximize o engajamento dos membros,Максимизируйте взаимодействие членов организации,Üye katılımını en üst düzeye çıkarın,,会员互动最大化
,"Brinda a tus miembros un lugar donde puedan conectarse contigo y su misión los 365 días del año, incluso cuando no sea posible reunirse cara a cara.","Dê aos seus membros um lugar onde eles podem se conectar com você e sua missão 365 dias por ano, mesmo quando não for possível se encontrar pessoalmente.","Предоставьте членам вашей возможность понять вас и вашу миссию 365 дней в году, даже если встреча лицом к лицу невозможна."," Üyelerinize, yüz yüze görüşmek mümkün olmasa bile yılda 365 gün sizinle ve görevinizle bağlantı kurabilecekleri bir yer verin.",,为您的社群会员提供一个即使无法线下碰面，也能 365 天与您的组织进行互动的线上云平台。
,Porque las cámaras de comercio aman Glue Up,Por que as Câmaras de Comércio amam o Glue Up,Почему Торговые палаты любят Glue Up,Ticaret Odaları neden Glue Up'ı seviyor,,为什么商会都爱用 Glue Up？
,Construye una comunidad empresarial más fuerte con tus miembros,Crie uma comunidade comercial mais forte com seus membros,Постройте более сильное бизнес-сообщество вместе c членами вашей организации, Üyelerinizle daha güçlü bir iş topluluğu oluşturun,,与您的会员一起，构建一个强大的商业社群
,Comprende la interacción,Entenda o engajamento,Изучите вовлеченность,Etkileşimi Anlayın,,全面洞悉您的社群互动数据
,Haz crecer tu negocio y obtén información util con el software de interacción todo en uno de Glue Up.,Expanda seus negócios e reúna insights acionáveis com o software de engajamento All-in-One da Glue Up.,Развивайте ваш бизнес и собирайте действенные идеи с помощью универсального программного обеспечения Glue Up.,Glue Up’ın hepsi bir arada etkileşim yazılımıyla işinizi büyütün ve eyleme dönüştürülebilir içgörüler toplayın.,,Glue Up 一体化云平台智能数据分析与可视化，助力您全面提升业务发展。
,Porque Corporaciones aman Glue Up,Por que as Corporações amam o Glue Up,Почему Корпорации любят Glue Up,Şirketler Neden Glue Up'ı Seviyor,,为什么企业级客户都爱用 Glue Up？
,Alimenta oportunidades de negocio y tu proceso de ventas,Promova leads e acelere o funil de vendas,Привлекайте потенциальных клиентов и ускоряйте план продаж,Potansiyel müşterileri besleyin ve satış hattını hızlandırın,,培养潜在客户，提升转化率
,Obtén información inmediata sobre sus contactos convirtiéndolos en clientes potenciales de alto valor.,"Obtenha informações imediatas sobre seus contatos, transformando-os em leads de alto valor.","Получите немедленное представление о ваших контактах, превратив их в ценных потенциальных клиентов.", Kişilerinizi yüksek değerli potansiyel müşterilere dönüştüren kişiler hakkında anında bilgi edinin.,,可视化数据实时动态展示，全面助力您将联系人转化为高质量的销售线索。
,Mantente al día y haz crecer tu negocio,Mantenha-se enxuto e expanda seus negócios,Оставайтесь в форме и развивайте свой бизнес,Yalın kalın ve işinizi büyütün,,精简高效，提升收益
"Identify your revenue targets, create new opportunities, and accelerate the sales cycles.","Identifica tus objetivos de ingresos, crea nuevas oportunidades y acelera los ciclos de ventas.","Identifique suas metas de receita, crie novas oportunidades e acelere os ciclos de vendas.","Определите свои целевые показатели дохода, создайте новые возможности и ускорьте цикл продаж.","Gelir hedeflerinizi belirleyin, yeni fırsatlar yaratın ve satış döngülerini hızlandırın.",,识别您的收入目标，创建新的销售机会，加速销售周期，高效促成签单。
,Ejecuta eventos eficientes e impactantes de cualquier tamaño,Execute eventos eficientes e impactantes de qualquer tamanho,Проводите эффективные и впечатляющие мероприятия любого размера,Her boyutta verimli ve etkili etkinlikler gerçekleştirin,,不论活动规模大小，都能帮助您提升管理效率和行业影响力。
,"Optimiza tus procesos, interacciones y colecta donaciones con el sistema todo-en-uno de Glue Up.","Simplifique seus processos, engajamento e colete doações com o software de engajamento All-in-One da Glue Up.","Оптимизируйте свои процессы, взаимодействия и собирайте пожертвования с помощью универсального программного обеспечения Glue Up.","Glue Up’ın hepsi bir arada etkileşim yazılımıyla süreçlerinizi, katılımınızı kolaylaştırın ve bağış toplayın.",,Glue Up 一体化云平台助力非营利组织简化运营管理流程，增强成员间的互动，高效收集与管理各类慈善捐款。
,Porque Organizaciones Sin Fines de Lucro aman Glue Up,Por que Organizações Sem Fins Lucrativos amam o Glue Up,Почему некоммерческие организации любят Glue Up, Kâr Amacı Gütmeyen Kuruluşlar Glue Up'ı neden seviyor?,,为什么非营利组织都爱用 Glue Up？
,Refuerza la reputación y el liderazgo intelectual a través de la creación de programas interactivos que incrementen el valor de la membresía.,Reforce a reputação e a liderança inovadora criando programas de engajamento que aumentam o valor de suas associações.,"Укрепляйте репутацию и лидерство мышления, создавая привлекательные программы, которые повышают ценность членства.", Üyelik değerini artıran ilgi çekici programlar oluşturarak itibar ve düşünce liderliğini güçlendirin.,,创建极具互动性的活动，提升会员价值，增强组织机构的思想领导力与声誉。
,Crea relaciones sólidas y maximiza la retención,Crie relacionamentos fortes e maximize a retenção,Постройте и сохраняйте прочные отношения ,Güçlü ilişkiler kurun ve elde tutma oranını en üst düzeye çıkarın,,建立强大的社群关系网，实现留存最大化
,Crea interacciones significativas con los partidarios que fomenten relaciones a largo plazo y un apoyo sostenido a lo largo del tiempo.,Crie interações significativas com apoiadores que nutrem relacionamentos de longo prazo e suporte que se mantém ao longo do tempo,"Налаживайте отношения со сторонниками, которые ценят долгосрочные отношения и постоянную поддержку в течение долгого времени",Uzun vadeli ilişkileri besleyen ve zaman içinde sürekli desteği besleyen destekçilerle anlamlı etkileşimler oluşturun,,为您的长期支持者们创建有意义的互动活动
,Recopila donaciones sin esfuerzo,Colete doações sem esforço,Собирайте взносы бех особых усилий,Zahmetsizce bağış toplayın,,轻松收集慈善捐款
,Ahorra aún más tiempo automatizando tareas que son cruciales para mantener a tus miembros contentos y comprometidos mientras haciendo más fácilmente la forma de pago.,"Economize ainda mais tempo automatizando tarefas que são cruciais para manter seus membros felizes e engajados, ao mesmo tempo que facilita os pagamentos.","Экономьте еще больше времени, автоматизируя задачи, которые имеют решающее значение для того, чтобы члены вашей организации оставались довольны и активно взаимодействовали, одновременно максимально упрощая платежи.", Ödemeleri kolaylaştırırken üyelerinizi mutlu etmek ve etkileşimde bulunmak için çok önemli olan görevleri otomatikleştirmek için daha da fazla zaman kazanın.,,实现管理流程云端自动化，对于提高工作效率、提升会员满意度、保持社群互动、便捷支付等，十分重要。
,Ayuda a construir y fortalecer tu red de seguidores,Ajude a construir e fortalecer sua rede de apoiadores,Формируйте и укрепляйте вашу сеть сторонников,Destekçilerden oluşan ağınızı oluşturmanıza ve güçlendirmenize yardımcı olun,,助力您构建和强化社群成员关系网
,"Organiza, analiza e implementa comunicación estratégica con los afiliados de tu asociación para mantener y crecer esas relaciones.","Organize, analise e implemente estrategicamente a comunicação com apoiadores de ONGs para manter e desenvolver esses relacionamentos.","Организуйте, анализируйте и реализуйте стратегическое общения с некоммерческими партнерами, чтобы поддерживать и развивать деловые отношения.","Bu ilişkileri sürdürmek ve büyütmek için kar amacı gütmeyen destekçilerle iletişimi organize edin, analiz edin ve stratejik olarak uygulayın.",,Glue Up 一体化云平台让您的组织机构和支持者们能实现高效互动，帮助您完成云端智能化关系管理，维护和发展好长期互动关系。
,Conoce más sobre asociaciones sin fines de lucro y Glue Up,Saiba mais sobre Organizações sem Fins Lucrativos e Glue Up,Узнайте больше о некоммерческих организациях и Glue Up,Kâr amacı gütmeyen kuruluşlar ve Glue Up hakkında daha fazla bilgi edinin,,了解更多有关非营利组织与 Glue Up 的资讯
,"Las mejores interacciones comienzan <span class=""line""><ins>aquí</ins></span>","Um grande engajamento começa <span class=""line""><ins>aqui</ins></span>","Взаимодействие с аудиторией начинается <span class=""line""><ins>здесь</ins></span>","Harika etkileşim <span class = ""line""> <ins> buradan </ins> </span> başlar",,"智能云端互动，<span class=""line""><ins>即刻开启</ins></span>"
,Administra tus operaciones,Gerencie suas operações,Управляйте своими операциями,Operasyonlarınızı yönetin,,随时随地管理您的各项运营工作
,Brindando valor a los miembros,Trazendo valor aos membros,Приносите членам ценность,Üyelere değer katmak,,赋能会员更多价值
,Datos y análisis de interacción,Dados e Análises de Engajamento,Данные и аналитика взаимодействия,Katılım verileri ve analitiği,,互动数据分析
,Genera ingresos,Gere receita,Увеличивайт доход,Geliri arttırın,,增加收入
Automate Manual Tasks,Automatiza tareas manuales,Automatizar tarefas manuais,"Автоматизируйте задачи, выполняемые вручную",Manuel görevleri otomatikleştirin,,手动工作任务，实现线上自动化
,Optimiza tus procesos y conviértete en la mejor versión de ti mismo.,Simplifique seus processos e torne-se a melhor versão de você mesmo.,Оптимизируйте свои процессы и станьте лучшей версией самого себя.,Süreçlerinizi kolaylaştırın ve kendinizin en iyi versiyonu olun,,简化运营流程，高效云端管理。
,Hazlo sencillo para todos,Facilite Para Todos,Сделайте это легким для всех,Herkes İçin Kolaylaştırın,,操作简便，易于使用
,"Una experiencia de usuario premium, probada en batalla para asegurar confort absoluto para ti y tus miembros.",Experiência de usuário premium testada em operação para seu conforto absoluto e de todos os seus membros.,"Премиальный пользовательский опыт, опробованный на нас самих, для вашего абсолютного комфорта и комфорта членов вашей организации."," Premium kullanıcı deneyimi, sizin ve tüm üyelerinizin mutlak rahatlığı için savaşta test edilmiştir.",,Glue Up 云平台优质且流畅的用户体验，受到了全球众多客户的高度认可，不仅为您提供便捷的操作，更帮助您为您的目标受众带去不一样的体验。
,Interactúa con tus miembros ,Engaje seus membros,Взаимодейсивуйте с членами организации,Üyelerinizle Etkileşime Geçin,,促进会员互动
,Obtén visibilidad instantánea de la interacción y el rendimiento con tableros y perfiles interactivos.,Obtenha visibilidade instantânea de engajamento e desempenho com painéis e perfis interativos.,Получите мгновенное представление взаимодействия и производительности с помощью интерактивных панелей мониторинга и профилей.,Etkileşimli panolar ve profillerle etkileşim ve performansa anında görünürlük kazanın.,,交互式控制面板与数据模块，让您快速获取可视化的互动与活动成效数据。
,"Quédate comprometido, donde sea","Mantenha-se engajado, em qualquer lugar",Оставайтесь на связи с любой точки мира,Her Yerde Bağlı Kalın,,随时随地，高效互动
"You and your members are doing more and more work from mobile devices, so the software comes with two mobile apps - one for you and one for your members. ","Tu y tus miembros están haciendo más y más trabajo desde el celular, el sistema viene con dos aplicaciones - una para administrarlo y otra para los usuarios. ","Você e seus membros estão trabalhando cada vez mais no celular, então o software vem com dois aplicativos móveis - um para você e outro para seus membros.","Вы и члены вашей организации выполняете все больше и больше работы с мобильных устройств, поэтому программное обеспечение идёт в комплекте с двумя мобильными приложениями - одним для вас и одним для членов вашей организации."," Siz ve üyeleriniz mobil cihazlardan giderek daha fazla iş yapıyorsunuz, bu nedenle yazılım iki mobil uygulama ile birlikte gelir - biri sizin için, diğeri üyeleriniz için.",,Glue Up 推出了两款移动端 App，一款为管理者所用，一款为您的会员打造。多种模块功能，移动端 App 随时随地便捷使用。
,Empieza a construir con APIs,Comece a construir com APIs,Создавайте новое с API,API'lerle oluşturmaya başlayın,,开启 API 功能集成
,Crea exactamente lo que necesita con API flexibles y webhooks.,Crie exatamente o que você precisa com APIs e webhooks flexíveis.,"Создавайте именно то, что вам нужно, с помощью гибких API и веб-крючков.", Esnek API'ler ve web kancaları ile tam olarak ihtiyacınız olanı oluşturun.,,用灵活的 API 和 Webhook 搭建一切您所需的功能。
,Contactos y flujo,Contatos e Pipeline,Контакты и план продаж, İletişim ve Satış Hattı,,联系人 & 销售漏斗
,Administra tu audiencia y oportunidades de negocio con herramientas sencillas de utilizar.,Gerencie seus públicos e oportunidades com ferramentas fáceis de usar.,Управляйте своей аудиторией и возможностями с помощью простых инструментов.,Kitlelerinizi ve fırsatlarınızı kullanımı kolay araçlarla yönetin.,,用操作简便的智能化工具管理您的目标客户与销售机会。
Make Smarter Decisions,Tablero e Información ,Painel & Insights,Информационная панель и статистика,Gösterge Tablosu ve Analizler,,控制面板 & 可视化数据
,Obtén visibilidad instantánea de la interacción con tableros y perfiles interactivos.,Obtenha visibilidade instantânea do engajamento com painéis e perfis interativos.,Получите мгновенное представление о взаимодействии с помощью интерактивных информационных панелей и профилей.,Etkileşimli kontrol panelleri ve profillerle etkileşim için anında görünürlük kazanın.,,交互式控制面板与数据模块，让您快速获取可视化互动数据。
,Privacidad y seguridad,Privacidade e Segurança,Конфиденциальность и безопасность,Gizlilik ve Güvenlik,,隐私 & 安全
,Nosotros cuidamos tu seguridad para que tu te concentres en servir a tu comunidad.,"Cuidamos da segurança, para que você possa se concentrar em servir a sua comunidade.","Мы заботимся о безопасности, поэтому вы можете сосредоточиться на обслуживании вашего сообщества.",Topluluğunuza hizmet etmeye odaklanabilmeniz için güvenliği biz üstleniyoruz.,,平台安全我们层层把关，您大可放心地专注于社群运营与管理。
,"Mantén todo <span class=""line""><ins>connecting</ins></span> con todas las herramientas de Glue Up","Mantenha as coisas <span class=""line""><ins>conectadas</ins></span> com cada recurso Glue Up","<span class=""line""><ins>Синхронизируйте</ins></span> информацию с каждого функцией Glue Up","Her Glue Up özelliği ile her şeyi <span class = ""line""> <ins> bağlantıda </ins> </span> tutun",,"Glue Up 一体化云平台，各模块数据均实现<span class=""line""><ins>互联</ins></span>"
,Módulos de la Plataforma,Módulos da Plataforma,Модули платформы, Platform Modülleri,,平台功能模块
,Mantén tus contactos en un sólo lugar y descubre oportunidades de interacción,Mantenha seus contatos em um só lugar e encontre oportunidades de engajamento.,Хранить свои контакты на одной платформе и находите возможности для взаимодействия., Kişilerinizi tek bir yerde tutun ve etkileşim fırsatları bulun.,,联系人数据统一管理，为销售互动创建更多机会。
,Crea interacción con el ambiente correcto para que tu comunidad prospere.,Estimule o engajamento com o ambiente certo para que sua comunidade prospere.,"Инициируйте взаимодействие с помощью среды, в которой ваше сообщество будет процветать.",Topluluğunuzun gelişmesi için doğru ortamla etkileşimi teşvik edin.,,提升互动，促进社群蓬勃发展。
,"Ten el compromiso en vivo durante los eventos, tanto en línea como presenciales.","Envolva-se ao vivo em seus eventos, tanto online quanto offline.",Оживите взаимодействие во время мероприятий и вебинаров.,Hem çevrimiçi hem de çevrimdışı etkinliklerle canlı etkileşime geçin.,,线上、线下活动均激活互动
,Usuarios premium merecen herramientas premium,Membros premium merecem recursos premium.,Премиум-пользователи заслуживают премиум-функций.,"Premium üyeler, premium özellikleri hak eder.",,高级会员可享有特殊功能权限。
,Habla con tu comunidad y mantenlos interactuando con tu contenido.,Fale com a sua comunidade e mantenha-os engajados com o seu conteúdo.,Взаимодействуйте с вашим сообществом и поддерживайте их интерес к вашему контенту.,Topluluğunuzla konuşun ve onları içeriğinizle meşgul edin.,,用 Glue Up 一体化云平台产出的内容能帮助您与社群实现持续互动
,Finanzas y facturación,Finanças e Faturamento,Финансы и счета,Finans ve Faturalama,,聚合云支付
,Facilita las finanzas con la facturación automática y mantén tus libros conectados.,Facilite as finanças com faturamento automático e mantenha seus livros conectados.,Упростите финансовые процессы с помощью автоматического выставления счетов и сводите бухгалтерские отчетности.,Otomatik faturalama ile finans işlerinizi kolaylaştırın ve kitaplarınızın bağlı kalmasını sağlayın.,,自动化开具发票，与您的线上财务账簿互联，Glue Up 帮助您实现便捷的云端财务管理
,Conecta tu equipo y sus tareas a través de diferentes módulos., Conecte sua equipe e suas tarefas em diferentes módulos.,Объедините свою команду и задачи в различных модулях.,Ekibinizi ve görevlerini farklı modüller arasında bağlayın.,,将不同团队的工作任务实现跨模块互联
,Comunícate con tu comunidad para obtener respuestas y aprender sobre tu desempeño.,Entre em contato com sua comunidade para obter as respostas e aprender sobre seu desempenho.,Обратитесь к своему сообществу за ответами и узнайте их мнение о вашей работе.,Yanıtlar için topluluğunuza ulaşın ve performansınız hakkında bilgi edinin.,,高效触达社群，获取会员全方位画像，实时监管各项数据
,Créditos CPE / CPD,Créditos de CPD/CPE,Баллы для повышения квалификации, CPE / CPD Kredileri,,CPE/CPD 学分课程管理
,Página Web,Website,Вебсайт,Web Sitesi,,品牌网站搭建
,Mantén tu presencia en línea conectada a todo lo demás,Mantenha sua presença na web conectada a todo o resto.,Пусть ваше присутствие в сети будет связано со всем остальным., Web'deki varlığınızı her şeye bağlı tutun.,,保持高效云端互联
,Integraciones,Integrações,Интеграции,Entegrasyonlar,,功能集成
,Integra tu flujo de trabajo con tus herramientas favoritas,Integre seu fluxo de trabalho com suas ferramentas favoritas.,Интегрируйте свой рабочий процесс с вашими любимыми инструментами., İş akışınızı en sevdiğiniz araçlarla entegre edin.,,将您的工作流与您喜爱的工具实现功能集成
,Pagos,Pagamentos,Платежи,Ödemeler,,聚合支付
,Facilita los pagos en y fuera de línea conectados a todo lo demás.,Facilite pagamentos online e offline conectados a todo o resto.,С легкостью проводите онлайн и оффлайн платежи,Diğer her şeyle bağlantılı çevrimiçi ve çevrimdışı ödemeleri kolaylaştırın.,,线上、线下支付均实现互联，支付管理流畅度大幅提升。
,Aplicación Glue Up,Glue Up App,Приложение Glue Up,Glue Up Uygulaması,,Glue Up App
,Haz más sobre la marcha y brinda a tu comunidad una herramienta para mantenerse involucrado 24/7.,"Faça mais de qualquer lugar e forneça à sua comunidade uma ferramenta para se manter engajada 24 horas por dia, 7 dias por semana.",Делайте больше на ходу и предоставьте своему сообществу инструмент для взаимодейсвия 24/7., Hareket halindeyken daha fazlasını yapın ve topluluğunuza 7/24 etkileşimde kalması için bir araç sağlayın.,,随时随地查看社群动态，各模块数据信息全天候实时更新。
,Glue Up Manager,Gerenciador Glue Up,Glue Up менеджер,Glue Up Yönetici,,Glue Up 管理者 App
,Una pasarela de pago echa para ls comunidades profesionales ,Um gateway de pagamento criado para comunidades profissionais,"Система оплаты, созданная для профессиональных сообществ",Profesyonel topluluklar için oluşturulmuş bir ödeme ağ geçidi,,一个专为专业社群组织打造的支付网关。
,Crea encuestas de cualquier tipo en unos pocos clics.,Crie pesquisas de qualquer tipo com apenas alguns cliques.,Создавайте опросы любого типа в несколько простых кликов.,Birkaç basit tıklamayla her türden anket oluşturun.,,只需简单操作，即可创建任意类型的调查问卷。
Gain instant visibility into survey results with interactive dashboards and profiles.,Obtén visibilidad instantánea de los resultados de las encuestas con tableros y perfiles interactivos.,Obtenha visibilidade instantânea dos resultados das pesquisas com painéis e perfis interativos.,Получите мгновенное представление о результах опросов с помощью интерактивных информационных панелей и профилей.,Etkileşimli kontrol panelleri ve profillerle anket sonuçlarına anında görünürlük kazanın.,,交互式控制面板与数据模块，让您快速获取可视化调查问卷信息。
Ask Even Faster,Pregunta aún más rápido,Pergunte ainda mais rápido,Спрашивайте еще быстрее,Daha da hızlı sor,,快速收集反馈意见
,Usa plantillas disponibles hechas por profesionales para ahorrar aún más tiempo.,Use os modelos disponíveis preparados por profissionais para economizar ainda mais tempo.,"Используйте имеющиеся шаблоны, разработанные профессионалами, чтобы сэкономить еще больше времени.",Daha fazla zaman kazanmak için profesyoneller tarafından hazırlanan mevcut şablonları kullanın.,,您可以使用我们设计的专业模板，更省时高效。
,Simplifica todos los procesos de pagos desde el inicio hasta el final sin comprometer tu seguridad.,Simplifique todos os processos de pagamento do início ao fim sem comprometer a segurança.,Упростите все платежные процессы от начала до конца без ущерба для безопасности.,Güvenlikten ödün vermeden tüm ödeme süreçlerini baştan sona basitleştirin.,,在保证严格安全的情况下，全方位简化支付流程管理。
Stay on Top of Your Financials,Quédate al tanto de tus finanzas,Fique por dentro de suas finanças,Контролируйте свои финансы,Finans bilgilerinizi takip edin,,实时掌握财务数据
,"Con la aplicación móvil, tú puedes acceder a las P&G y otros reportes de finanzas desde cualquier lugar.","Com o aplicativo móvel, você pode acessar seu P&L e outros relatórios financeiros de qualquer lugar.",С помощью мобильного приложения вы можете получить доступ к любым финансовым отчетам.,Mobil uygulama ile P&L ve diğer finansal raporlara her yerden erişebilirsiniz.,,使用 Glue Up 移动端 App，您可以随时随地查看组织机构的损益报告和其他财务数据信息。
,Eventos en línea y presenciales,Eventos Online e Offline,Онлайн и оффлайн мероприятия,Çevrimiçi ve Çevrimdışı Etkinlikler,,线上 & 线下活动
,"Planea, promueve, ejecuta y evalúa uno o cientos de eventos virtuales de comienzo a fin.","Planeje, promova, execute e avalie um, ou centenas de eventos do início ao fim."," Планируйте, продвигайте, организуйте и анализируйте одно или сотни мероприятий от начала до конца."," Bir veya yüzlerce etkinliği baştan sona planlayın, tanıtın, yürütün ve değerlendirin.",,从策划、推广，到管理、跟进、评估等工作，Glue Up 全程为您的线上会议和活动，提供云助力。
,Comprende a tu audiencia al tener toda la información y actividades de tus contactos centralizada en un sólo lugar.,Entenda seu público tendo todas as informações de contato e atividades centralizadas em um só lugar.,"Анализируйте взаимодействие аудитории, централизируя детали всех контактов и их активность.",Tüm iletişim bilgilerini ve etkinlikleri tek bir yerde toplayarak hedef kitlenizi anlayın.,,在统一的云平台中了解您的目标用户信息，集中管理您所有联系人的数据
,Correos electrónicos,Emails,Электронные письма,E-postalar,,电子邮件
,"Manda boletines informativos, invitaciones personalizadas a eventos y otros correos electrónicos en unos cuantos clics y da seguimiento al rendimiento.","Envie boletins informativos, convites para eventos com sua marca e outros e-mails com apenas alguns cliques e acompanhe o desempenho.","Отправляйте информационные бюллетени, фирменные приглашения на мероприятия и другие кампании в несколько кликов и отслеживайте их эффективность."," Birkaç tıklamayla haber bültenleri, markalı etkinlik davetiyeleri ve diğer e-postaları gönderin ve performansı izleyin.",,品牌资讯、活动邀请函，及其他邮件，均可一键发送并实时追踪数据。
,Finanzas y pagos,Finanças e Pagamentos,Финансы и платежи,Finans ve Ödemeler,,财务 & 支付
,Recopila dinero sin esfuerzo y manténte actualizado sobre tu desempeño financiero en tiempo real.,Colete dinheiro sem esforço e mantenha-se atualizado com seu desempenho financeiro em tempo real.,Собирайте оплаты без особых усилий и будьте в курсе ваших финансовых показателей в режиме реального времени., Zahmetsizce para toplayın ve finansal performansınızı gerçek zamanlı olarak güncel tutun.,,轻松收集票款，并实时掌握各项财务数据。
,Toma decisiones estratégicas rápido teniendo el panorama completo del desempeño e interacciones de tu organización.,Tome decisões inteligentes com mais rapidez tendo uma visão completa de seu desempenho e engajamento.,"Принимайте разумные решения быстрее, обладая полной картиной вашей эффективности и взаимодействия.", Performansınızın ve katılımınızın eksiksiz bir resmine sahip olarak akıllı kararları daha hızlı alın.,,全方位掌握活动成效数据与互动数据，助力您的高效决策。
,Una aplicación móvil para administrar tu organización desde cualquier sitio y una aplicación móvil para tus asistentes y miembros,"Um aplicativo para você gerenciar sua organização de qualquer lugar, um aplicativo para seus participantes e membros.","Одно приложение для вас, чтобы управлять вашей организацией, где бы вы не находились, одно приложение для ваших участников и членов организации."," Kuruluşunuzu her yerden yönetebileceğiniz tek bir uygulama, katılımcılarınız ve üyeleriniz için tek bir uygulama.",,Glue Up 有 2 款移动端 App，一款为管理者打造，方便其随时随地进行云端高效管理；另一款为参会者与社群会员打造，方便其随时保持互动，提升活动体验。
,Una herramienta para administrar todo el ciclo del evento,Uma única ferramenta para gerenciar todo o ciclo de vida do evento,Один инструмент для управления полным циклом мероприятия, Tüm etkinlik yaşam döngüsünü yönetmek için tek bir araç,,一个帮助您管理整个活动生命周期的 MarTech 工具
,Durante,Durante,В течение,Sırasında,,活动中
,Después,Depois,После,Sonra,,活动后
,Empieza a utilizar la mejor tecnología para interactuar con tu comunidad.,Comece a usar a melhor tecnologia para se envolver com sua comunidade.,Начните использовать лучшие технологии для взаимодействия с вашим сообществом.,Topluluğunuzla etkileşim kurmak için en iyi teknolojiyi kullanmaya başlayın.,,用最新云技术，实现与社群的高效互动。
,Suite de gestión de eventos,Suite de Gerenciamento de Eventos,Управление мероприятиями,Etkinlik Yönetimi Paketi,,活动营销云解决方案
,Suite de gestión de membresías,Suite de Gerenciamento de Associações,Управление членствами,Üyelik Yönetim Paketi,,会员管理云解决方案
,Suite de gestión de eventos virtuales,Suite de Gerenciamento de Eventos Virtuais,Управление вебинарами,Sanal Etkinlik Yönetim Paketi,,线上会议与活动管理云解决方案
,Suite de gestión de comunidades,Suite de Gerenciamento da Comunidade,Управление сообществом,Topluluk Yönetim Paketi,,社群互动云解决方案
,Suite de gestión educativa,Suite de Gerenciamento de Aprendizagem,Управление обучающими программами,Eğitim Yönetimi Takımı,,课程学习管理云解决方案
,Suite de gestión de donaciones,Suite de Gerenciamento de Doações,Управление взносами, Bağış Yönetimi Paketi,,慈善捐款管理云解决方案
,Una sola herramienta desde alance hasta a los miembros involucrados.,"Uma única ferramenta, do primeiro contato até os membros envolvidos",Единый инструмент от охвата до взаимодействия с членами организации, Sosyal yardımdan bağlı üyelere kadar tek bir araç,,整合内外部资源，促进社群会员互动
